api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/338950,David Bowie,1984,https://genius.com/David-bowie-1984-lyrics,http://api.genius.com/songs/338950,Diamond Dogs,1974-04-24," Someday they won't let you So now you must agree The times they are a-telling And the changing isn't free You've read it in the tea leaves, and the tracks are on TV Beware the savage jaw of 1984 They'll split your pretty cranium, and fill it full of air And tell that you're eighty, but brother, you won't care You'll be shooting up on anything, tomorrow's neverthere Beware the savage jaw of 1984   Come see, come see, remember me? We played out an all night movie role You said it would last, but I guess we enrolled In 1984 (who could ask for more) 1984 (who could ask for mor-or-or-or-ore) (Mor-or-or-or-ore)   I'm looking for a vehicle, I'm looking for a ride I'm looking for a party, I'm looking for a side I'm looking for the treason that I knew in '65 Beware the savage jaw of 1984   Come see, come see, remember me? We played out an all night movie role You said it would last, but I guess we enrolled In 1984 (who could ask for more) 1984 (who could ask for mor-or-or-or-ore) (Mor-or-or-or-ore)   1984"
/songs/1181295,David Bowie,1984/Dodo,https://genius.com/David-bowie-1984-dodo-lyrics,http://api.genius.com/songs/1181295,Diamond Dogs,1989-09-19,"Someday they won't let you, now you must agree The times they are a-telling, and the changing isn't free You've read it in the tea leaves, the tracks are on tv Beware the savage jaw Of 1984  They'll break your pretty cranium, and fill it full of air And tell you that you're eighty, but lover you won't care You'll be shooting up this huge world, like tomorrow's wasn't there Beware the savage jaw Of 1984  (come see, come see, remember me? ) We played out an all night movie role You said it would last, but I guess we've grown In 1984 (who could ask for more) 1984 (who could ask for more)  Now we can talk in confidence Did you guess that we've been done wrong Lies jumped the queue to be first in line Such a shameless design  He thinks he's well screened from the man at the top It's a shame that his children disagree They cooly decide to sell him down the line Daddy's brainwashing time  He's a do do, no no didn't hear it from me He's a do do, no no didn't hear it from me  She doesn't recall her blessed childhood out of yore When a unit was a figure not a she When lovers chose each other seems the perk's are due Another memo to screw  She's a do do, no no didn't hear it from me She's a do do, no no didn't hear it from me  Can you wipe your nose my child without them slotting in your file a photograph Will you sleep in fear tonight wake to find the scorching light of neighbour jim Come to, turn you in  But the do do, no no, didn't hear it from me Another do do, no no, didn't hear it from me Another do do, no no, didn't hear it from me Another do do, no no, didn't hear from me  Come see, come see, remember me? We played out an all night movie role You said it would last, but I guess we enrolled In 1984 (who could ask for more) 1984 (who could ask for mor-or-or-or-ore) (mor-or-or-or-ore)  198 4 1984 1984 (mor-or-or-or-ore) 1984 1984 (mor-or-or-or-ore) 1984 1984 (mor-or-or-or-ore)"
/songs/339229,David Bowie,5.15 The Angels Have Gone,https://genius.com/David-bowie-515-the-angels-have-gone-lyrics,http://api.genius.com/songs/339229,Heathen,2002-06-11, 5:15 I'm changing trains This little town Let me down This foreign rain Brings me down   5:15 Train overdue Angels have gone No ticket I'm jumping tracks I'm changing towns We never talk anymore Forever I will adore you   5:15 All of my life Angels have gone I'm changing trains Angels like them Thin on the ground All of my life All legs and wings Strange sandy eyes   5:15 Train overdue Angels have gone We never talk anymore Forever I will adore you Cold station All of my life Forever I'm out here forever
/songs/339091,David Bowie,'87 and Cry,https://genius.com/David-bowie-87-and-cry-lyrics,http://api.genius.com/songs/339091,Never Let Me Down ,1987-04-20," It's just a one dollar secret A lover's secrets in the UK Torn apart in the UK In the dribble of May-Day '87 and Cry '87 and Cry And there's nothing inside And there's nothing in mind (no) And only you Rocket on through the sky   Well, it couldn't be done Without dogs It couldn't be once Without us '87 and Cry '87 and Cry   When the days were the days were the days boys When blue ties Were for the biggy guys Frannie dressing down for the enemy You saw him hanging on the enemy And there's no one in love And there's nowhere to scream And only you Race on to wonder where   Well, it couldn't be done Without dogs It couldn't be once Without us '87 and Cry '87 and Cry   You can't make love with money You can't make mistakes with babies Nothing looked good on you That's how I liked you best Now you're ready for the real McCoy Deep in the heart of Cupid Murders on the heels of love Just the ghost of a story Just a one dollar secret Baby these were the sounds Baby these were the sounds (yeah) And only you Whisper these things aren't true   Well, it couldn't be done Without dogs Well, it couldn't be once Without us '87 and Cry '87 and Cry   '87 and Cry '87 and Cry (cry, cry) '87 and Cry '87 and Cry (cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry Hey Hey '87 and Cry"
/songs/3863955,David Bowie,"'87 and Cry, 2018",https://genius.com/David-bowie-87-and-cry-2018-lyrics,http://api.genius.com/songs/3863955,Never Let Me Down 2018,2018-08-28," It's just a one dollar secret A lover's secrets in the UK Torn apart in the UK In the dribble of May-Day '87 and Cry '87 and Cry And there's nothing inside And there's nothing in mind (no) And only you Rocket on through the sky   Well, it couldn't be done Without dogs It couldn't be once Without us '87 and Cry '87 and Cry   When the days were the days were the days boys When blue ties Were for the biggy guys Frannie dressing down for the enemy You saw him hanging on the enemy And there's no one in love And there's nowhere to scream And only you Race on to wonder where   Well, it couldn't be done Without dogs It couldn't be once Without us '87 and Cry '87 and Cry   You can't make love with money You can't make mistakes with babies Nothing looked good on you That's how I liked you best Now you're ready for the real McCoy Deep in the heart of Cupid Murders on the heels of love Just the ghost of a story Just a one dollar secret Baby these were the sounds Baby these were the sounds (yeah) And only you Whisper these things aren't true   Well, it couldn't be done Without dogs Well, it couldn't be once Without us '87 and Cry '87 and Cry   '87 and Cry '87 and Cry (cry, cry) '87 and Cry '87 and Cry (cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry, cry, cry) '87 and Cry '87 and Cry (cry, cry) '87 and Cry Hey Hey '87 and Cry"
/songs/339234,David Bowie,A Better Future,https://genius.com/David-bowie-a-better-future-lyrics,http://api.genius.com/songs/339234,Heathen,2002-06-11," Please don't tear this world asunder Please take back this fear we're under I demand a better future Or I might just stop wanting you I might just stop wanting you Please make sure we get tomorrow All this pain and all the sorrow   I demand a better future Or I might just stop needing you I might just stop needing you Give my children sunny smiles   Give them moon and cloudless skies I demand a better future Or I might just stop loving you Loving you, loving you   When we talk, we talk to you When we talk, we talk to you From factory to field How many tears must fall   Down there below Nothing is moving I might just stop wanting you I might just stop needing you I might just stop loving you I demand a better future I demand a better future   I demand a better future For I might just stop loving you Loving you, loving you I demand a better future   I demand a better future I demand a better future For I might just stop loving you, loving you, loving you I demand a better future"
/songs/1126243,David Bowie,Absolute Beginners,https://genius.com/David-bowie-absolute-beginners-lyrics,http://api.genius.com/songs/1126243,Best of Bowie,1986-03-03, I've nothing much to offer There's nothing much to take I'm an absolute beginner And I'm absolutely sane As long as we're together The rest can go to hell I absolutely love you But we're absolute beginners With eyes completely open But nervous all the same   If our love song Could fly over mountains Could laugh at the ocean Just like the films There's no reason To feel all the hard times To lay down the hard lines It's absolutely true   Nothing much could happen Nothing we can't shake Oh we're absolute beginners With nothing much at stake As long as you're still smiling There's nothing more I need I absolutely love you But we're absolute beginners But if my love is your love We're certain to succeed   If our love song Could fly over mountains Sail over heartaches Just like the films If there's reason To feel all the hard times To lay down the hard lines It's absolutely true
/songs/338974,David Bowie,Across the Universe,https://genius.com/David-bowie-across-the-universe-lyrics,http://api.genius.com/songs/338974,Young Americans,1975-03-07," Words are flowing out like endless rain into a paper cup They slither wildly as they slip away Across the universe Pools of sorrow, waves of joy are drifting through my opened mind Possessing and caressing me   Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world   Images of broken light which dance before me like a Million eyes They call me on and on Across the universe Thoughts meander like the restless wind inside a letterbox They tumble blindly as they make their way Across the universe   Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world   Sounds of laughter, shades of life Are ringing through my open ears Inciting and inviting me Limitless undying love, which shines around me like a million suns It calls me on and on and on Across the universe   Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world Nothing's going to change my world"
/songs/1082658,David Bowie,A Foggy Day (In London Town),https://genius.com/David-bowie-a-foggy-day-in-london-town-lyrics,http://api.genius.com/songs/1082658,Red Hot + Rhapsody (The Gershwin Groove) ,1998-10-06," I was a stranger in the city Out of town were the people I knew I had that feeling of self-pity What to do? What to do? What to do? The outlook was decidedly blue But as I walked through the foggy streets alone It turned out to be the luckiest day I've known   A foggy day in London Town Had me low and had me down I viewed the morning with alarm The British Museum had lost its charm How long, I wondered, could this thing last? But the age of miracles hadn't passed For, suddenly, I saw you there And through foggy London Town The sun was shining everywhere"
/songs/236734,David Bowie,Afraid,https://genius.com/David-bowie-afraid-lyrics,http://api.genius.com/songs/236734,Heathen,2002-06-10," I wish I was smarter I got so lost on the shore I wish I was taller Things really matter to me   But I put my face in tomorrow I believe we're not alone I believe in Beatles I believe my little soul has grown   And I'm still so afraid Yes, I'm still so afraid Yes, I'm still so afraid On my own, on my own   What made my life so wonderful? What made me feel so bad? I used to wake up the ocean I used to walk on clouds   If I put faith in medication If I can smile a crooked smile If I can talk on television If I can walk an empty mile  And I won't feel afraid No I won't feel afraid I won't be, be afraid anymore    Anymore (And then I just won't be afraid) Anymore (And then I just won't be afraid)"
