api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/3635386,Rihanna,A Child Is Born,https://genius.com/Rihanna-a-child-is-born-lyrics,http://api.genius.com/songs/3635386,Now That's What I Call Christmas! 4,2010-10-12," As I was walkin' down the road to Bethlehem one night I looked up to the sky and there I saw a wondrous sight A star was shining brighter than I'd ever seen before And a host of angels sang to me, never heard a song so pure They said don't be afraid, we bring good news to all the world With great tidings of joy for every boy and every girl   A child is born On this holy night And all the angels sing of the joy he brings with a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king while he sleeps so peacefully So peacefully Oh yeah   As I went down into the town to see what I could see Three mighty kings with golden rings came ridin' up to me They said they seek the child who was born beneath the star Of all the kings this one would be the mightiest by far So wake up everybody, 'cause the blessed day has come And ring the bell so we can tell the news to everyone   A child is born On this holy night And all the angels sing of the joy he brings with a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king while he sleeps so peacefully So peacefully Hallelujah, Hallelujah, Hallelujah....   So wake up everybody, 'cause the blessed day has come And ring the bell so we can tell the news to everyone   A child is born On this holy night And all the angels sing of the joy he brings with a star so bright So come to see Mary's sweet baby And let our praises ring to the newborn king while he sleeps so peacefully So peacefully Oh yeah"
/songs/219348,Rihanna,A Girl Like Me,https://genius.com/Rihanna-a-girl-like-me-lyrics,http://api.genius.com/songs/219348,A Girl Like Me,2006-04-10," Ohh Ohh   Some girls play the game They all walk and talk and they dress the same Nothing new to say Don't they realize That it's so easy to see right through their disguise Makes me wonder why   When the whole world's turning left It's when I'm going right I need someone to let me be Just who I am inside   'Cause a girl like me Is just a little different from all the rest And a girl likes me Never gonna settle for second best Could it be a boy like you That would give me anything If I asked him to To take all my dreams And make them true Show me all the reasons that you Ought to be with a girl like me Just like me   Possibility Got me trippin' Thinkin' of what could be Between you and me Still, I need to know Should I keep this feeling Or let it go I can't wait no more So now's the time To speak your mind And Show me what you feel So tell me if you Want to take a chance On something real   'Cause a girl like me Is just a little different from all the rest And a girl likes me Never gonna settle for second best Could it be a boy like you That would give me anything If I asked him to To take all my dreams And make them true Show me all the reasons that you Ought to be with a girl like me Just like me   Mirror Mirror, on the wall Catch me now before I fall I wish I may, I wish I might Find the answer here tonight Mirror Mirror, on the wall Catch me now before I fall I wish I may, I wish I might Find the answer here tonight   When the whole world's turning left It's when I'm going right I need someone to let me be Just who I am inside   'Cause a girl like me Is just a little different from all the rest And a girl likes me Never gonna settle for second best Could it be a boy like you That would give me anything If I asked him to To take all my dreams And make them true Show me all the reasons that you Ought to be with a girl like me Just like me"
/songs/219349,Rihanna,A Million Miles Away,https://genius.com/Rihanna-a-million-miles-away-lyrics,http://api.genius.com/songs/219349,A Girl Like Me,2006-04-10," Here we lay face to face once again Silence cuts like a knife as we pretend And I'm wondering who will be the first to say what we both know We're just holding onto ""could have been's"" that we should be letting go   It feels like you're a million miles away As you're lying here with me tonight I can't even find the words to say I can find a way to make it right And we both know that the story's ending We play the part, but we're just pretending And I can't hide the tears 'Cause even though you're here It feels like you're a million miles away   Was it me, or was it you that broke away? What we were is like a season, love is change And every time I think about it It tears me up inside Like the rivers of emotion But I got no more tears to cry   It feels like you're a million miles away As you're lying here with me tonight I can't even find the words to say I can find a way to make it right And we both know that the story's ending We play the part, but we're just pretending And I can't hide the tears 'Cause even though you're here It feels like you're a million miles away   We can try to talk it over But we've walked that road before While our song is playing its last note And we both know for sure That it's time to close that door   It feels like you're a million miles away As you're lying here with me tonight I can't even find the words to say I can find a way to make it right And we both know that the story's ending We play the part, but we're just pretending And I can't hide the tears 'Cause even though you're here It feels like you're a million miles away"
/songs/3394769,Rihanna,Answer,https://genius.com/Rihanna-answer-lyrics,http://api.genius.com/songs/3394769,None,2018-04-05," You have my hands to hold So how come you won't hold me? Your words are so damn cold The winter can't affect me You're mad enough to say What you think is my business But, you can't say you love me Even in between the kisses   Tender, tender little kisses you give to me Just like you give to her, tell me how can you sleep? Teardrops, little teardrops fallin' in disbelief How can you lie to her, while you lay with me?   Hey, hey, if you don't have an answer Just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can't find the words to say But, if you don't have an answer You don't have to answer   Your arms around me now Felt like sunlight in the morning It always comes around But, just not when I want it So all you have to give Is everything I needed But, it's so hard to live Just wonderin' if you're givin'   Tender, tender little kisses you give to me Just like you give to her, tell me how can you sleep? Teardrops, little teardrops fallin' in disbelief How can you lie to her, while you lay with me?   Hey, hey, if you don't have an answer Just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can't find the words to say But, if you don't have an answer You don't have to answer   You'd rather make up a lie Then make up a fight And then you get so upset when I ask you why, oh I wonder what makes you feel A part of you can't be real You said you'd never hurt me Then, what do you think you did?   Hey, hey, if you don't have an answer Just don't say If you don't have an answer You don't have to answer Hey, hey, I'm sure your lips can't find the words to say But, if you don't have an answer You don't have to answer   Hey, hey, if you don't have an answer Just don't say If you don't have an answer You don't have to answer You don't have to answer"
/songs/727192,Rihanna,As Real as You and Me,https://genius.com/Rihanna-as-real-as-you-and-me-lyrics,http://api.genius.com/songs/727192,Home (Original Motion Picture Soundtrack),2015-03-23," There could be a freak accident There could be a fatal disease I know we hate to think about it But it's as real as you and me It's as real as you and me We could all fall down Before our savior could return I know we hate to think about it But it's as real as you and me   If I should go Hold my hand If I should leave Darling, cover me, please   The earth could quake to ruin We could drift off in our sleep I know we hate to think about it But it's as real as you and me It's as real as you and me The ocean crushed the shore And take us down forever more I know we hate to think about it But it's as real as you and me   If I should go Hold my hand If I should leave Darling cover me, please   I know we hate to think about it But it's as real as you and me It's as real as you and me"
/songs/59249,Rihanna,Birthday Cake,https://genius.com/Rihanna-birthday-cake-lyrics,http://api.genius.com/songs/59249,Talk That Talk (Deluxe Edition),2011-11-18," Come and put cha name on it, put cha name on it Come and put cha name on it, ya name Don't chu wanna put ya name on it, put cha name on it Come and put cha name on it, bay-bay-bay-bay-uh   It's not even my birthday (my birthday) But he wanna lick the icing off (the icing off) I know you want it in the worst way (the worst way) Can't wait to blow my candles out   He want that... Cake, cake, cake, cake, cake Cake, cake, cake, cake, cake Cake, cake, cake, cake, cake (But you wanna put your name on it) Oh, baby I like it It's so exciting Don't try to hide it I'mma make you my bitch Cake, cake, cake, cake, cake Cake, cake, cake, cake, cake Cake, cake, cake, cake, cake (But you wanna put your name on it) I know you wanna bite this It's so enticing Nothing else like this I'mma make you my bitch   And it's not even my birthday (my birthday) But you wanna put your name on it And it's not even my birthday (my birthday) And he's tryna put his name on it   Oh, I wanna fuck you right now (ooh) Just get up on my body, I'll do anything..."
/songs/731783,Rihanna,Bitch Better Have My Money,https://genius.com/Rihanna-bitch-better-have-my-money-lyrics,http://api.genius.com/songs/731783,None,2015-03-26," Yayo, yayo Mula-la Yayo   Bitch better have my money Y'all should know me well enough Bitch better have my money Please don't call me on my bluff Pay me what you owe me Ballin' bigger than LeBron Bitch, give me your money Who y'all think y'all frontin' on? Like bra, bra, bra   Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot   Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my (bitch better have my) Bitch better have my (bitch better have my) Bitch better have my money   Turn up to Rihanna while the whole club fuckin' wasted Every time I drop, I am the only thing y'all playin' In a drop top, doin' hundred, y'all in my rearview mirror racin' Where y'all at? Where y'all at? Where y'all at? Like bra, bra, bra   Louis XIII, and it's all on me, nigga, you just bought a shot Kamikaze, if you think that you gon' knock me off the top Shit, your wife in the backseat of my brand new foreign car Don't act like you forgot I call the shots, shots, shots Like bra, bra, bra Pay me what you owe me, don't act like you forgot   Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my (bitch better have my) Bitch better have my (bitch better have my) Bitch better have my money Bitch better have my money Bitch better have my money Pay me what you owe me Bitch better have my (bitch better have my) Bitch better have my (bitch better have my) Bitch better have my money   Bitch better have my money Bitch better have my money Bitch, bitch, bitch better have my money Yo, that bitch better have my money Hold up My money Yo, my money That bitch better have my money Bitch better have my money  [Produced by Deputy; Co-produced by Kanye West; Additional production by Travis Scott and WondaGurl]"
/songs/4363666,Rihanna,Bitch I'm Special,https://genius.com/Rihanna-bitch-im-special-lyrics,http://api.genius.com/songs/4363666,None,2019-04-26," Mirror, mirror on the wall Who's got the most inflated ego of them all? Thinks he can do a booty call That thinks he is so lovable That thinks he is the perfect man That I shouldn't of ever let go And that's why I let him go The first thing he wants in the morning ain't you It's all about him in the morning, baby You got a boy like I had, using you A boy like that is using baby Let me help you understand the sexy grin from ear to ear Girl, if you were inside his head This is what you'd hear   Ayo, you gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have (Uh huh) You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have   La da da da da da   He handled me like merchandise Hate to admit the down payment was his bedroom eyes (Yeah) Ay, then after he passed home base, he started to pump the breaks My heavenly bliss destroyed He flipped a U-ey in my face I was the grand prize that he hardly had to chase Said goodbye 'cause I coulda sworn i heard him say   You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have   La da da da da da La da da da da da La da da da da da La da da da da da   You don't gotta love no selfish man Let him love on himself (Yeah) Let him love on himself (Yeah) Let him love on himself (Yeah) Let him love someone else (Yeah) Let him love someone else I'm just too good, too good 'Cause he said   You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have (Uh huh) You gotta love me (Love me) Bitch, I'm special (Bitch, I'm special) I want everybody thinking that I got somethin'-somethin' they don't have   Bitch!"
/songs/99373,Rihanna,Breakin' Dishes,https://genius.com/Rihanna-breakin-dishes-lyrics,http://api.genius.com/songs/99373,Good Girl Gone Bad,2007-05-31," I don't know who you think I am I don't know who you think I am I don't know who you think I am I don't know who you think I am   He been gone since 3:30 Been coming home lately at 3:30 I'm super cool, I've been a fool But now I'm hot, and baby, you gon' get it Now I ain't tripping, I ain't twisted I ain't demented, well, just a lil' bit I'm kickin' asses, I'm taking names I'm on flame, don't come home, babe   I'm breakin' dishes up in here, all night I ain't gon' stop until I see police lights I'ma fight a man tonight, I'ma fight a man tonight I'ma fight a man, a man, a man A man, a man, a man   I'm still waiting, come through the door I'm killing time, you know, bleaching your clothes I'm roasting marshmallows on the fire And what I'm burning is your attire I'm getting restless, I'm getting tested And I can't believe he's always out every night and never checks in Is he cheating? Man, I don't know I'm looking 'round for something else to throw   I'm breakin' dishes up in here, all night I ain't gon' stop until I see police lights I'ma fight a man tonight, I'ma fight a man tonight I'ma fight a man, a man, a man A man, a man, a man   I don't know who you think I am But I really don't give a damn right now If you don't come, I'ma huff and puff and blow this, blow this, oh Blow this, blow this, I'ma blow this, blow this, oh Blow this, blow this, I'ma blow this, blow this, oh Blow this house, house down Dishes, breakin', dishes breakin', dishes   I'm breakin' dishes up in here, all night I ain't gon' stop until I see police lights I'ma fight a man tonight, I'ma fight a man tonight I'ma fight a man, a man, a man A man, a man, a man A man, a man, a man   Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes) Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes) Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes) Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes)"
/songs/3402697,Rihanna,Breakin' Dishes (Soul Seekerz),https://genius.com/Rihanna-breakin-dishes-soul-seekerz-lyrics,http://api.genius.com/songs/3402697,Good Girl Gone Bad: The Remixes,2009-01-27," I don't know who you think I am I don't know who you think I am I don't know who you think I am I don't know who you think I am I don't know who you think I am   He been gone since 3:30 Been coming home lately at 3:30 I'm super cool, I've been a fool But now I'm hot and baby, you gon' get it Now I ain't tripping, I ain't twisted I ain't demented, well, just a lil' bit I'm kickin' asses, I'm taking names I'm on flame, don't come home, babe   I'm breaking dishes up in here, all night I ain't gon' stop until I see police lights I'mma fight a man tonight, I'mma fight a man tonight I'mma fight a man, a man, a m-a-n A man, a man, a m-a-n A man, a man, a m-a-n   I'm still waiting, come through the door I'm killing time, you know, bleaching your clothes I'm roasting marshmallows on the fire And what I'm burning is your attire I'm getting restless, I'm getting tested And I can't believe he's always out every night and never checks in Is he cheating? Man, I don't know I'm looking 'round for something else to throw   I'm breaking dishes up in here, all night I ain't gon' stop until I see police lights I'mma fight a man tonight, I'mma fight a man tonight I'mma fight a man, a man, a m-a-n   I don't know who you think I am I don't know who you think I am I don't know who you think I am   I'm breaking dishes up in here, all night I ain't gon' stop until I see police lights I'mma fight a man tonight, I'mma fight a man tonight I'mma fight a man, a man, a m-a-n I'm breaking dishes up in here, all night I ain't gon' stop until I see police lights I'mma fight a man tonight, I'mma fight a man tonight I'mma fight a man, a man, a m-a-n   I don't know who you think I am I don't know who you think I am I don't know who you think I am"
